iter	Passed	Remaining
967	41154	1360
968	41178	1317
969	41200	1274
970	41220	1231
971	41240	1187
972	41259	1144
973	41280	1101
974	41300	1058
975	41318	1016
976	41335	973
977	41356	930
978	41371	887
979	41388	844
980	41404	801
981	41426	759
982	41439	716
983	41451	674
984	41462	631
985	41473	588
986	41484	546
987	41496	504
988	41507	461
989	41518	419
990	41531	377
991	41542	335
992	41554	292
993	41566	250
994	41579	208
995	41591	167
996	41603	125
997	41616	83
998	41628	41
999	41640	0
